sbsconfig,runnum,target,sbsmagcurr(A),bbmagcurr(A),ebeam_mean(GeV),ebeam_std(GeV),charge(C),DAQltime
11,12543,LD2,2100,750,9.88912709668141,0.000157833421977,0.0408449,0
11,12544,LD2,2100,750,9.88918615742946,8.71865228523776E-05,0.0116271,0
11,12547,LD2,2100,750,9.88912166779005,0.000140146686082,0.0304574,0
11,12549,LD2,2100,750,9.88896602920948,0.00021429049448,0.0308769,0
11,12550,LD2,2100,750,9.88893849943637,0.000239103054629,0.0313421,0
11,12551,LD2,2100,750,9.8888536889703,0.000238238056683,0.0293901,0
11,12552,LD2,2100,750,9.88882090279749,0.000191700717036,0.0284438,0
11,12553,LD2,2100,750,9.88887197480427,0.000212304322517,0.0329768,0
11,12554,LD2,2100,750,9.88892097526786,0.000213216410897,0.0292018,0
11,12556,LD2,2100,750,9.88846919703896,0.000171600899626,0.0243386,0
11,12558,LD2,2100,750,9.88861756910448,0.000238980584405,0.0155902,0
11,12559,LD2,2100,750,9.88866096325758,0.000215754514975,0.038516,0
11,12565,LD2,2100,750,9.88870108430255,0.000194071414044,0.0379649,0
11,12566,LD2,2100,750,9.88862302345534,0.00039409127572,0.0392956,0
11,12567,LD2,2100,750,9.88833472731317,0.000346470885501,0.0387171,0
11,12568,LD2,2100,750,9.88832279561189,0.000401559748858,0.0383185,0
11,12569,LD2,2100,750,9.88854305505338,0.000238129648352,0.0418592,0
11,12570,LD2,2100,750,9.8884730125,0.00025016320327,0.0410193,0
11,12571,LD2,2100,750,9.88869652112727,0.00028771684682,0.0190284,0
11,12572,LD2,2100,750,9.88884963683012,0.000214483185453,0.0380491,0
11,12574,LD2,2100,750,9.88879435300724,0.000305762246228,0.0379548,0
11,12577,LD2,2100,750,9.88866422385185,0.000412284361667,0.00726931,0
11,12580,LD2,2100,750,9.88873912342906,0.00021404350309,0.0428618,0
11,12581,LD2,2100,750,9.88891282927224,0.000283763320098,0.0384817,0
11,12582,LD2,2100,750,9.88888588584239,0.000306255671333,0.037265,0
11,12583,LD2,2100,750,9.8885737904,0.00028056718712,0.0373525,0
11,12584,LD2,2100,750,9.88874685972495,0.000216518335967,0.0377765,0
11,12585,LD2,2100,750,9.88870267665414,0.000254203853586,0.0383078,0
11,12586,LD2,2100,750,9.88855046725777,0.000290699297893,0.0386498,0
11,12589,LD2,2100,750,9.88866182566484,0.000266263295564,0.0418192,0
11,12590,LD2,2100,750,9.88893330495215,0.000314304393413,0.0241141,0
11,12592,LD2,2100,750,9.88899963100719,0.000224474123742,0.0151632,0
11,12593,LD2,2100,750,9.88896450087859,0.000299633616214,0.0347662,0
11,12597,LD2,2100,750,9.88887222193668,0.000379486224778,0.0382463,0
11,12598,LD2,2100,750,9.88846835686364,0.000287618749486,0.0333886,0
11,12599,LD2,2100,750,9.88898507771429,0.000412677849118,0.00465485,0
11,12614,LD2,2100,750,9.88883858106489,0.000287566171576,0.0381567,0
11,12618,LD2,2100,750,9.888912002,0.000360785256459,0.0126259,0
11,12619,LD2,2100,750,9.8889106792029,0.000338133224092,0.0265123,0
11,12620,LD2,2100,750,9.88899888229927,0.000272719383373,0.0246554,0
11,12623,LD2,2100,750,9.88902479817372,0.000329494296741,0.0135031,0
11,12627,LD2,2100,750,9.889068175,0.000223310985824,0.037402,0
11,12628,LD2,2100,750,9.88914959314465,0.000243863954222,0.00149413,0
11,12638,LD2,2100,750,9.88885233967742,0.0003521500641,0.0399465,0
11,12639,LD2,2100,750,9.8889455671831,0.00018305951841,0.0056843,0
11,12641,LD2,2100,750,9.88890176304167,0.000281147563705,0.0305879,0
11,12642,LD2,2100,750,9.88877524,0.000236499246933,0.00860135,0
11,12643,LD2,2100,750,9.88868223,0.00028472307767,0.0337887,0
11,12644,LD2,2100,750,9.8887880725,0.000385733737975,0.0110741,0
11,12645,LD2,2100,750,9.8884854485258,0.000422546007484,0.0265823,0
11,12647,LD2,2100,750,9.88878195871605,0.000427074697634,0.0171511,0
11,12653,LD2,2100,750,9.88817136143678,0.000353773081353,0.0377997,0
11,12654,LD2,2100,750,9.88823796123457,0.000229862237804,0.000636616,0
11,12655,LD2,2100,750,9.88852877655446,0.000268944088963,0.0378376,0
11,12656,LD2,2100,750,9.88871182411197,0.000210729178472,0.0377384,0
11,12659,LD2,2100,750,9.8888130123993,0.000274623169173,0.0379157,0
11,12660,LD2,2100,750,9.88881789752212,0.000344282464765,0.0361953,0
11,12661,LD2,2100,750,9.88861046852631,0.000284854075035,0.039389,0
11,12662,LD2,2100,750,9.88884686078864,0.000313654484699,0.0165835,0
11,12664,LD2,2100,750,9.88854489524017,0.000483254317146,0.0126762,0
11,12666,LD2,2100,750,9.88852428914893,0.000295805696876,0.00649201,0
11,12671,LD2,2100,750,9.88881559696065,0.000308743410855,0.0464041,0
11,12673,LD2,2100,750,9.88878640521452,0.000234465659767,0.0395827,0
11,12674,LD2,2100,750,9.88872240211475,0.000247355859378,0.0465917,0
11,12678,LD2,2100,750,9.8885010759394,0.000369088284984,0.010902,0
11,12679,LD2,2100,750,9.88848524022452,0.000445102746595,0.0377223,0
11,12680,LD2,2100,750,9.88840780441532,0.000310742835261,0.0380749,0
11,12681,LD2,2100,750,9.88822991534884,7.93134285857209E-05,0.00362505,0
11,12682,LD2,2100,750,9.88830400231054,0.000330845952736,0.0411628,0
11,12683,LD2,2100,750,9.88819088627572,0.000299416830641,0.038366,0
11,12684,LD2,2100,750,9.88801750166667,0.000252528775918,0.0286128,0
11,12686,LD2,2100,750,9.8880850864966,0.000604791717401,0.0388875,0
11,12687,LD2,2100,750,9.887604636098,0.000499022555482,0.042617,0
11,12688,LD2,2100,750,9.88734532209726,0.00057249560491,0.0254666,0
11,12693,LD2,2100,750,9.88894719818182,0.000177723675923,0.0397379,0
11,12694,LD2,2100,750,9.88900011972917,0.000176233565738,0.037682,0
11,12695,LD2,2100,750,9.88899641892925,0.000167244109488,0.0380838,0
11,12697,LD2,2100,750,9.88898086455724,0.000166513434262,0.0356329,0
11,12699,LD2,2100,750,9.88912188178862,0.000105445972567,0.0303305,0
11,12700,LD2,2100,750,9.88921562294118,0.000166189828152,0.0236671,0
11,12701,LD2,2100,750,9.8891947513253,0.000154161555905,0.0380343,0
11,12702,LD2,2100,750,9.88912386016327,0.000179993489932,0.0375477,0
11,12706,LD2,2100,750,9.88913590807273,0.00014146011913,0.0446275,0
11,12707,LD2,2100,750,9.88920083925333,0.000136652836393,0.0467742,0
11,12708,LD2,2100,750,9.88919900101933,0.000138878971861,0.0452781,0
11,12709,LD2,2100,750,9.88919970020942,0.000138827803228,0.0444928,0
11,12710,LD2,2100,750,9.88920182475,0.00015916527991,0.0453735,0
11,12711,LD2,2100,750,9.8891834316879,0.000115971188646,0.046035,0
11,12713,LD2,2100,750,9.889095425625,0.000115800176164,0.00145678,0
11,12714,LD2,2100,750,9.88908139029159,0.000125096254808,0.0472139,0
11,12715,LD2,2100,750,9.88913208493151,0.000148840023485,0.0472666,0
11,12721,LD2,2100,750,9.88916278816921,0.000257401263601,0.0496942,0
11,12722,LD2,2100,750,9.88908675890334,0.000154141053502,0.0418324,0
11,12726,LD2,0,750,9.88904664131696,0.000135118247741,0.0348747,0
11,12728,LD2,0,750,9.88902077678652,0.00018832288957,0.0322573,0
11,12729,LD2,0,750,9.88901972944444,0.000182033088929,0.0505914,0
11,12732,LD2,2100,750,9.88894696464926,0.000191979410862,0.048187,0
11,12733,LD2,2100,750,9.88899263853488,0.000243323466817,0.0252694,0
11,12734,LD2,2100,750,9.88890511957237,0.000241454098114,0.0228194,0
11,12735,LD2,2100,750,9.88888296306709,0.000238033851922,0.0467564,0
11,12737,LD2,2100,750,9.88919273055556,0.000211770878838,0.00477164,0
11,12738,LD2,2100,750,9.88941391550255,0.000180337690252,0.0435297,0
11,12739,LD2,2100,750,9.889296505,0.000164011684799,0.000752784,0
11,12740,LD2,2100,750,9.88942416572447,0.000185048082591,0.0305349,0
11,12742,LD2,2100,750,9.88887737210526,0.000268145674967,0.0279123,0
11,12743,LD2,2100,750,9.88932930210389,0.000212182751051,0.0228397,0
11,12767,LD2,2100,750,9.88947385811563,0.000210678973842,0.034853,0
11,12768,LD2,2100,750,9.88939952584245,0.000243980299464,0.0175644,0
11,12769,LD2,2100,750,9.88951773241627,0.000231356184394,0.0321345,0
11,12770,LD2,2100,750,9.88944738334,0.000251380067493,0.0658545,0
11,12771,LD2,2100,750,9.88951946657351,0.000236577376796,0.0658053,0
11,12772,LD2,2100,750,9.88937004629668,0.000200751126632,0.0703641,0
11,12773,LD2,2100,750,9.88934836217207,0.000145915710297,0.041975,0
11,12778,LD2,2100,750,9.88942445521591,0.000197807173571,0.0637096,0
11,12779,LD2,2100,750,9.8893216808922,0.000204830566609,0.0385107,0
11,12781,LD2,2100,750,9.88920656335283,0.000234419986175,0.0399121,0
11,12782,LD2,2100,750,9.88934401557185,0.000195586501723,0.0245601,0
11,12796,LD2,2100,750,9.88925113757576,9.54593705358063E-05,0.00303239,0
11,12797,LD2,2100,750,9.8893269859466,0.000190534679979,0.0333821,0
11,12798,LD2,2100,750,9.88945632889156,0.000229069402598,0.0319386,0
11,12799,LD2,2100,750,9.88950082653846,0.000229636934556,0.0344482,0
11,12801,LD2,2100,750,9.88942883841216,0.000198290076732,0.0441466,0
11,12802,LD2,2100,750,9.88949580818,0.000225451836396,0.0399898,0
11,12813,LD2,2100,750,9.88923498324647,0.000160760743613,0.0585459,0
11,12814,LD2,2100,750,9.88938416891709,0.000176411566779,0.0445872,0
11,12815,LD2,2100,750,9.88953109935088,0.000217004138595,0.0458632,0
11,12816,LD2,2100,750,9.88961509692432,0.000235658270024,0.0451735,0
11,12817,LD2,2100,750,9.8897295510849,0.000274826983971,0.0473818,0
11,12819,LD2,2100,750,9.88967693995,0.000293689249288,0.0451731,0
11,12820,LD2,2100,750,9.88958472343023,0.000255889408517,0.0667768,0
11,12824,LD2,2100,750,9.88946360374571,0.000206970485945,0.0439079,0
11,12825,LD2,2100,750,9.88949862631083,0.000238462740687,0.0444574,0
11,12826,LD2,2100,750,9.8894789035,0.000205926038011,0.0456494,0
11,12827,LD2,2100,750,9.88949259571429,0.000198818146798,0.0447899,0
11,12828,LD2,2100,750,9.88939873146959,0.000226231019332,0.0458212,0
11,12829,LD2,2100,750,9.88929507882759,0.000180950459493,0.0448648,0
11,12830,LD2,2100,750,9.88927690295238,0.00020855245448,0.0299331,0
11,12894,LD2,2100,750,9.88778769422735,0.00054696088898,0.0461564,0
11,12896,LD2,2100,750,9.88855618617954,0.000292480275156,0.0387931,0
11,12897,LD2,2100,750,9.88883200605341,0.000448840847874,0.0287766,0
11,12902,LD2,2100,750,9.88892834792079,0.000948628441535,0.0181434,0
11,12903,LD2,2100,750,9.8884333704,0.000558887344407,0.00187624,0
11,12904,LD2,2100,750,9.88904941160888,0.000646338065946,0.0365614,0
11,12906,LD2,2100,750,9.88919641060606,0.000191801644176,0.0392034,0
11,12907,LD2,2100,750,9.88924973702663,0.000190225755188,0.0488007,0
11,12908,LD2,2100,750,9.88931240474359,0.000217816256603,0.0403735,0
11,12909,LD2,2100,750,9.88929331312796,0.000200824397205,0.0489636,0
11,12911,LD2,2100,750,9.88923603,0.000163896670051,0.00416045,0
11,12912,LD2,2100,750,9.88916648219033,0.000228643504985,0.0378917,0
11,12913,LD2,2100,750,9.88915253587629,0.000127195956384,0.00452048,0
11,12914,LD2,2100,750,9.88921361617801,0.0001842953215,0.0149766,0
11,12915,LD2,2100,750,9.88924683205714,0.000203298781181,0.0281131,0
11,12916,LD2,2100,750,9.88924810002016,0.000235775334162,0.0376072,0
11,12917,LD2,2100,750,9.88938867775,0.000261259476149,0.0377691,0
11,12918,LD2,2100,750,9.889591910625,0.000314593663608,0.0383568,0
11,12919,LD2,2100,750,9.88942778697193,0.000213982712469,0.0376852,0
11,12920,LD2,2100,750,9.88953827109215,0.000265853440122,0.0406573,0
11,12921,LD2,2100,750,9.88966012059524,0.000246159007735,0.013516,0
11,12932,LD2,2100,750,9.88949731862069,0.00026773338535,0.0401667,0
11,12933,LD2,2100,750,9.88946388114228,0.000254884122272,0.036749,0
11,12934,LD2,2100,750,9.88971143916318,0.000351872859196,0.0195017,0
11,12935,LD2,2100,750,9.88969710650672,0.000270070377798,0.0407854,0
11,12936,LD2,2100,750,9.88948933902549,0.000290812606812,0.0377189,0
11,12939,LD2,2100,750,9.88885712357143,0.000401988345323,0.0446115,0
11,12940,LD2,2100,750,9.88874499852615,0.00036027609423,0.0397636,0
11,12946,LD2,2100,750,9.88859596865285,0.00032891824404,0.0149988,0
11,12957,LD2,2100,750,9.88897630669663,0.000194600806983,0.0359213,0
11,12961,LD2,2100,750,9.88890903821721,0.000195076274284,0.0388341,0
11,12962,LD2,2100,750,9.88888780514523,0.000172422870144,0.0193925,0
11,12963,LD2,2100,750,9.889028976875,0.000164207964077,0.0140531,0
11,12965,LD2,2100,750,9.88898907447563,0.000182627489374,0.0505289,0
11,12968,LD2,2100,750,9.88893196211618,0.000186955516452,0.0395007,0
11,12969,LD2,2100,750,9.88890972125703,0.000185593273554,0.0430789,0
11,12970,LD2,2100,750,9.88894439874003,0.000245503271541,0.0420064,0
11,12971,LD2,2100,750,9.8888487848785,0.000187117768272,0.0441512,0
11,12972,LD2,2100,750,9.88870209070295,0.000272282591082,0.0353741,0
11,12975,LD2,2100,750,9.88911229234899,0.000169366288169,0.0192802,0
11,12976,LD2,2100,750,9.88909357398844,0.000153729958525,0.024976,0
11,12977,LD2,2100,750,9.88913232111111,0.000189824458866,0.0116019,0
11,12979,LD2,2100,750,9.88890350289474,0.000179005911298,0.00637626,0
11,12980,LD2,2100,750,9.88905064560241,0.000176034016948,0.0100216,0
11,12982,LD2,2100,750,9.8885444524196,0.000324471481097,0.0482115,0
11,12983,LD2,2100,750,9.88890551884058,0.000265210929602,0.0479247,0
11,12984,LD2,2100,750,9.88917075630114,0.00016379946959,0.00932266,0
11,12986,LD2,2100,750,9.88904797328011,0.000251043932329,0.0490543,0
11,12987,LD2,2100,750,9.88905387314894,0.000230096071251,0.0493038,0
11,12988,LD2,2100,750,9.88899113123967,0.000264711091601,0.0497797,0
11,12989,LD2,2100,750,9.88900539762791,0.00030169737596,0.013439,0
11,13000,LD2,2100,750,9.8886876993217,0.000244126985918,0.0420172,0
11,13029,LD2,2100,750,9.8887255104007,0.000267510927658,0.0428072,0
11,13030,LD2,2100,750,9.88878782154514,0.000248412067555,0.045528,0
11,13034,LD2,2100,750,9.88895840581272,0.000283327795921,0.0435832,0
11,13035,LD2,2100,750,9.88928736428312,0.000245678581295,0.0336411,0
11,13036,LD2,2100,750,9.88938861455284,0.000248833465798,0.0163112,0
11,13038,LD2,2100,750,9.88904481228261,0.00037724683535,0.0627802,0
